HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
Hnrnph1,496,1226,1050,291,419,1267,367,203,476,423,1402
Hnrnph2,115,418,364,58,191,538,213,45,136,104,822
Hnrnph3,2,6,7,2,0,4,1,2,1,0,18
Hnrnpk,981,2042,2027,487,916,2159,577,334,950,729,2166
Hnrnpl,416,831,757,129,256,1004,245,104,317,208,1104
Hnrnpll,68,247,394,2,137,601,58,17,50,85,476
Hnrnpm,662,1313,1277,247,547,1502,754,164,537,429,1769
Hnrnpr,384,889,692,155,162,960,343,103,250,267,652
Hnrnpu,995,2134,2063,365,592,2615,745,209,619,520,2476
Hnrnpul1,76,50,53,9,21,84,72,4,29,21,155
Hnrnpul2,536,936,887,222,562,1238,556,134,371,276,1879
Hoga1,4,2,4,0,0,0,0,0,0,0,34
Homer1,20,42,31,18,32,72,8,7,11,17,114
Homer2,9,30,40,0,0,65,11,0,2,0,29
Homer3,247,285,242,25,53,103,10,10,20,12,172
Homez,46,86,76,17,5,36,2,3,18,9,123
Hook1,37,13,15,4,1,7,2,1,1,5,29
Hook2,115,148,122,22,26,207,16,4,29,20,122
Hook3,172,307,312,76,238,306,106,88,98,103,1067
Hopx,19,32,84,50,483,77,8,128,361,168,791
Hormad1,3,0,0,0,0,0,0,0,0,0,0
Hormad2,0,3,2,0,0,1,0,0,0,0,0
Hotair,0,0,0,0,0,0,0,0,0,0,0
Hotairm1,11,7,17,0,6,2,0,1,1,10,34
Hottip,0,0,0,0,0,0,0,0,0,0,0
Hoxa1,5,0,0,0,0,1,0,0,0,0,6
Hoxa10,80,17,19,0,0,27,0,0,3,0,3
Hoxa11,0,0,0,0,0,0,0,0,0,0,0
Hoxa11os,0,0,0,0,0,1,0,0,0,0,0
Hoxa13,0,0,0,0,0,0,0,0,0,0,0
Hoxa2,10,14,11,0,0,7,1,0,1,0,14
Hoxa3,0,1,3,0,1,0,1,0,0,1,4
Hoxa4,20,12,15,1,5,17,0,0,2,2,5
Hoxa5,113,113,57,0,0,26,0,1,11,7,111
Hoxa6,0,0,1,0,0,0,0,0,1,0,3
Hoxa7,315,445,314,2,7,87,0,5,22,29,171
Hoxa9,244,351,268,4,15,174,1,4,12,1,10
Hoxaas2,0,4,0,0,0,0,0,0,0,0,0
Hoxaas3,0,3,1,0,0,0,0,0,0,4,3
Hoxb1,15,0,0,0,0,1,1,0,0,0,31
Hoxb13,0,0,0,0,0,0,0,0,0,0,0
Hoxb2,70,4,1,0,0,3,2,0,0,0,4
Hoxb3,84,33,22,1,8,22,0,5,0,5,54
Hoxb4,169,106,118,22,65,63,3,25,22,15,509
Hoxb5,98,3,0,0,0,0,0,0,0,0,0
Hoxb5os,4,3,0,0,0,1,0,0,0,0,1
Hoxb6,18,0,0,0,0,0,0,0,0,0,0
Hoxb7,15,0,0,2,0,0,0,0,0,0,6
Hoxb8,0,0,0,0,0,0,0,0,0,0,1
Hoxb9,2,0,0,0,0,0,0,0,0,1,0
Hoxc10,0,0,0,0,0,0,0,0,2,0,0
Hoxc11,0,0,0,0,0,0,0,0,0,0,0
Hoxc12,0,0,0,0,0,0,0,0,0,0,0
Hoxc13,0,0,1,0,0,0,0,0,0,0,0
Hoxc4,0,0,0,0,0,0,0,0,0,0,65
Hoxc5,0,0,0,0,0,0,0,0,0,0,0
Hoxc6,0,0,0,0,0,0,0,0,1,0,16
Hoxc8,4,2,2,3,0,1,0,0,5,1,2
Hoxc9,0,1,0,0,1,1,0,0,3,0,1
Hoxd1,1,2,3,0,0,2,0,0,0,0,2
Hoxd10,0,0,0,0,0,0,0,0,0,0,0
Hoxd11,5,1,0,0,0,0,1,0,0,0,0
Hoxd12,0,0,0,0,0,0,0,0,0,0,0
Hoxd13,0,0,0,0,0,0,0,0,0,0,0
Hoxd3,0,0,0,0,0,0,0,0,0,0,0
Hoxd3os1,0,0,0,0,0,0,0,0,0,0,0
Hoxd4,14,0,0,0,0,1,0,0,0,0,4
Hoxd8,0,0,0,0,0,0,0,0,0,0,0
Hoxd9,0,0,0,0,0,0,0,0,0,0,0
Hp,302,576,1044,2,999,181,39,34,6,2,2947
Hp1bp3,532,1133,1067,142,288,940,391,127,529,452,1441
Hpca,0,0,0,0,0,0,0,0,0,1,1
Hpcal1,134,227,300,17,429,132,15,103,313,180,1262
Hpcal4,0,0,0,0,0,0,0,0,0,0,0
Hpd,0,0,0,0,0,0,0,0,0,0,0
Hpdl,26,6,7,0,0,15,0,0,0,1,2
Hpgd,8,30,14,6,401,24,41,112,0,8,652
Hpgds,13,8,5,4,3,11,7,2,15,8,248
Hpn,20,12,11,0,7,431,3,1,2,13,45
Hprt,225,801,800,77,272,828,196,77,270,166,606
Hps1,270,402,433,86,128,373,29,55,130,87,411
Hps3,51,176,183,109,338,103,10,30,96,78,856
Hps4,232,213,264,85,85,232,29,36,61,67,539
Hps5,51,127,133,32,171,94,13,21,67,57,467
Hps6,66,104,69,31,35,65,5,29,35,47,292
Hpse,24,311,306,64,514,31,8,14,5,11,256
Hpse2,0,0,0,0,0,0,0,0,0,0,3
Hpx,0,0,0,0,2,2,1,0,2,0,5
Hr,0,0,0,0,0,0,0,0,1,0,12
Hras,335,381,404,52,128,635,499,54,111,91,438
Hrasls,1,0,0,0,0,1,0,0,0,0,0
Hrasls5,0,0,0,0,0,0,1,0,0,0,0
Hrc,2,2,0,0,0,1,0,1,8,0,2
Hrct1,0,0,0,0,0,0,0,0,0,0,0
Hrg,0,0,0,0,0,0,0,0,0,0,0
Hrh1,3,0,6,0,0,0,0,0,0,0,93
Hrh2,27,45,34,6,12,8,3,15,16,8,351
Hrh3,0,0,0,0,0,0,0,0,0,0,0
Hrh4,0,0,0,0,0,0,0,0,0,0,4
Hrk,0,0,1,0,0,0,0,0,0,0,0
Hrnr,0,0,0,0,0,0,0,0,0,0,0
Hs1bp3,50,100,102,16,48,42,2,4,12,26,256
Hs2st1,59,167,107,17,40,160,14,5,38,29,119
Hs3st1,6,0,2,9,0,1,2,0,0,0,54
Hs3st2,0,0,0,0,0,0,5,0,0,0,199
Hs3st3a1,0,0,0,0,0,0,0,0,0,0,0
Hs3st3b1,3,4,5,10,4,2,0,55,77,65,94
Hs3st4,12,0,1,0,0,0,0,0,0,0,1
Hs3st5,0,0,0,0,0,0,0,0,0,0,0
Hs3st6,0,0,0,0,0,0,0,0,0,0,19
Hs6st1,84,196,161,44,113,655,622,24,91,57,453
Hs6st2,0,3,2,0,0,6,2,0,0,0,1
Hs6st3,0,0,0,0,0,0,1,0,0,0,0
Hsbp1,209,553,591,92,249,665,107,64,204,199,1341
Hsbp1l1,0,6,13,0,1,9,1,0,3,0,74
Hscb,201,379,331,68,106,356,229,21,158,79,259
Hsd11b1,22,31,182,26,32,22,11,244,352,223,1410
Hsd11b2,0,0,0,0,0,32,6,0,0,0,5
Hsd17b1,2,77,124,1,2,1,2,3,0,4,14
Hsd17b10,413,527,457,78,202,620,136,41,237,162,773
Hsd17b11,74,210,338,44,238,64,11,47,69,36,958
Hsd17b12,156,444,429,77,175,401,9,53,131,75,452
Hsd17b13,0,0,0,1,0,0,0,0,0,0,1
Hsd17b14,5,4,11,0,0,8,1,0,1,1,9
Hsd17b2,0,0,0,0,0,0,0,4,0,0,32
Hsd17b3,0,0,0,0,0,0,0,0,2,0,0
Hsd17b4,192,540,505,40,274,468,32,42,138,89,694
Hsd17b6,0,0,0,0,0,0,0,0,0,0,0
Hsd17b7,20,42,31,17,5,53,10,1,23,11,183
Hsd3b1,0,0,0,0,0,0,0,0,0,0,0
Hsd3b2,0,0,0,0,0,0,0,0,0,0,0
Hsd3b3,0,0,0,0,0,0,0,0,0,0,0
Hsd3b4,0,0,0,0,0,0,0,0,0,0,0
Hsd3b5,0,0,0,0,0,0,0,0,0,0,0
Hsd3b6,0,0,0,0,0,0,0,0,0,0,0
Hsd3b7,433,458,402,5,207,455,23,13,12,14,270
Hsdl1,90,250,287,90,82,401,123,30,195,152,607
Hsdl2,67,229,278,46,59,458,141,18,137,70,487
Hsf1,320,446,437,133,168,514,54,75,259,149,314
Hsf2,62,90,48,13,19,53,17,7,13,13,107
Hsf2bp,0,2,0,0,0,1,0,0,0,7,1
Hsf3,7,0,0,0,0,2,0,0,0,0,0
Hsf4,7,0,0,0,0,1,1,10,4,2,32
Hsf5,0,1,0,0,0,1,0,0,0,0,4
Hsfy2,0,0,0,0,0,0,0,0,0,0,0
Hsh2d,18,23,13,21,1,20,2,1,38,14,222
Hsp90aa1,2280,3482,3374,626,678,4563,967,222,895,735,1543
Hsp90ab1,2976,3933,3996,1116,1697,4331,807,596,2237,1636,3645
Hsp90b1,839,2203,2651,482,1057,1843,504,340,638,459,1892
Hspa12a,0,0,0,6,4,0,1,0,1,4,56
Hspa12b,14,0,0,0,0,9,0,0,0,0,3
Hspa13,18,148,238,18,27,76,11,16,17,26,258
Hspa14,246,591,671,93,202,1006,327,64,180,135,588
Hspa1a,138,269,336,1,116,78,1,2,10,28,613
Hspa1b,257,484,565,14,186,202,6,13,80,62,443
Hspa1l,7,24,22,4,0,35,2,1,2,1,10
Hspa2,24,28,50,6,25,27,6,4,2,3,79
Hspa4,539,1303,1305,205,408,1645,176,90,354,257,1257
Hspa4l,67,109,115,11,32,219,181,19,20,19,196
Hspa5,487,1728,1985,322,609,1540,467,185,439,343,1481
Hspa8,1603,2098,2023,805,1527,2223,611,553,1524,1228,2200
Hspa9,453,1141,1106,117,185,1711,57,45,286,169,487
Hspb1,19,3,4,0,0,0,0,0,1,10,22
Hspb11,6,33,36,10,13,37,16,2,43,35,98
Hspb2,0,0,0,0,0,0,0,0,0,0,0
Hspb3,0,0,0,0,0,0,0,0,0,0,3
Hspb6,53,56,45,3,14,131,166,3,10,12,95
Hspb7,0,0,0,0,0,1,0,0,1,0,2
Hspb8,17,2,1,0,0,0,0,0,1,0,4
Hspb9,0,5,1,0,1,5,0,1,0,0,2
Hspbap1,29,52,49,26,69,112,315,5,78,69,419
Hspbp1,440,482,382,88,84,675,122,35,195,114,252
Hspd1,891,2178,2152,179,362,3378,120,111,565,264,874
Hspe1,651,1147,1115,236,369,1617,169,122,657,370,655
Hspg2,1,0,0,8,0,2,0,0,3,0,15
Hsph1,112,338,310,36,55,695,26,33,171,62,226
Htatip2,177,151,127,33,57,268,275,34,58,56,1008
Htatsf1,433,604,636,172,215,1018,165,44,235,187,527
Htr1a,0,0,0,0,0,0,1,0,0,0,0
Htr1b,0,0,0,0,0,0,0,0,0,0,0
Htr1d,8,0,0,0,0,0,0,0,0,0,0
Htr1f,0,0,0,0,0,0,0,0,0,0,0
Htr2a,0,1,0,0,0,5,0,0,0,0,0
Htr2b,4,0,0,0,0,1,0,0,0,0,4
Htr2c,0,0,0,0,0,0,0,0,0,0,0
Htr3a,0,0,0,0,0,0,0,0,0,0,0
Htr3b,0,0,0,0,0,0,0,0,0,0,0
Htr4,0,0,0,0,0,0,0,0,0,0,1
Htr5a,0,0,0,0,0,0,0,0,0,0,0
Htr5b,0,0,0,0,0,0,0,0,0,0,0
Htr6,0,0,0,0,0,0,0,0,0,0,0
Htr7,0,0,0,0,6,0,0,0,1,0,48
Htra1,0,0,3,0,0,0,0,2,0,4,31
Htra2,0,16,28,3,10,27,5,0,2,0,25
Htra3,17,0,0,0,0,1,0,0,0,0,11
Htra4,0,0,0,0,0,0,0,0,0,0,4
Htt,106,300,265,67,57,335,146,42,157,91,514
Hunk,0,0,0,0,0,0,0,0,0,0,5
Hus1,91,183,188,41,16,447,18,12,62,34,123
Hus1b,0,2,3,0,3,0,0,0,3,0,9
Huwe1,412,804,693,253,221,813,156,105,499,407,946
Hvcn1,176,332,603,544,65,38,115,61,435,287,1369
Hyal1,1,12,10,2,1,17,50,0,1,1,21
Hyal2,52,113,104,12,14,261,38,7,31,24,133
Hyal3,47,39,37,4,2,79,28,5,10,11,32
Hyal4,0,0,0,0,0,0,0,0,0,0,0
Hyal5,0,0,0,0,0,0,0,0,0,0,0
Hyal6,0,0,0,0,0,0,0,0,0,0,1
Hydin,0,0,0,0,0,2,0,0,0,0,0
Hyi,156,93,66,37,11,94,5,1,43,54,168
Hykk,1,0,3,0,0,7,2,1,3,1,11
Hyls1,48,60,57,11,32,64,26,6,11,22,66
Hymai,0,0,0,0,0,0,0,0,0,0,0
Hyou1,97,216,400,32,71,217,32,10,47,32,257
Hypk,272,666,625,135,184,1167,381,80,257,189,963
Hypm,0,0,0,0,0,0,0,0,0,0,0
I730028E13Rik,0,0,0,0,0,0,0,0,0,0,0
I730030J21Rik,81,108,117,23,0,38,2,17,69,38,53
I830077J02Rik,0,35,18,1,55,5,2,6,0,1,324
Iah1,25,115,104,45,96,109,36,22,50,55,394
Iapp,1,0,0,0,0,0,0,0,0,0,0
Iars,208,434,417,85,74,570,101,32,132,102,302
Iars2,193,330,351,51,98,653,60,25,125,85,293
Iba57,106,138,104,20,38,419,477,20,27,19,129
Ibsp,0,0,0,0,0,0,0,0,0,0,1
Ibtk,93,328,367,71,183,460,459,13,89,99,668
Ica1,103,169,160,0,2,34,2,2,1,1,251
Ica1l,3,7,9,0,1,33,1,0,2,7,10
Icam1,103,144,137,115,217,28,33,152,207,98,550
Icam2,418,458,409,295,108,305,25,81,272,248,357
Icam4,135,92,45,1,5,268,345,2,1,1,40
Icam5,6,0,0,0,0,11,43,0,1,3,27
Ice1,87,199,184,69,103,281,19,24,127,89,496
Ice2,70,133,116,25,20,153,2,14,45,63,112
Ick,119,145,125,10,16,173,19,7,25,34,51
Icmt,86,134,84,40,33,187,38,20,48,24,215
Icos,1,18,5,9,4,4,1,12,197,294,266
Icosl,18,24,25,225,91,9,6,8,15,13,580
Ict1,362,400,489,82,231,516,102,91,347,207,533
Id1,5,36,96,1,52,6,1,2,4,8,554
Id2,31,50,80,30,261,131,31,683,552,420,1890
Id3,28,1,0,175,12,8,34,6,246,202,167
Id4,0,0,0,0,0,0,0,0,0,0,0
Ide,212,646,679,41,92,730,40,99,139,102,289
Idh1,22,272,413,6,292,80,12,24,19,9,742
Idh2,350,1049,1075,33,181,662,39,22,138,75,376
Idh3a,253,708,737,80,92,1087,98,46,178,111,398
Idh3b,430,820,735,174,434,995,235,149,459,238,676
Idh3g,396,891,857,144,353,901,278,97,254,109,755
Idi1,64,135,131,24,49,249,45,8,43,44,202
Idi2,0,0,0,0,0,2,0,0,0,0,1
Idnk,137,237,271,64,136,285,60,91,287,126,648
Ido1,3,0,0,0,3,1,0,0,0,0,10
Ido2,10,0,0,0,0,0,0,0,0,0,8
Ids,18,58,56,16,141,65,10,27,40,41,323
Idua,82,176,175,52,72,238,212,29,89,88,437
Ier2,246,411,473,105,368,276,70,115,262,223,2121
Ier3,134,138,101,1,22,70,68,8,47,2,1108
Ier3ip1,273,650,783,125,356,623,154,127,326,215,1626
Ier5,116,133,95,279,429,202,144,199,357,309,1757
Ier5l,7,32,13,2,23,2,0,0,5,12,117
Iffo1,204,231,225,41,142,202,29,50,102,77,445
Iffo2,47,13,20,11,48,11,1,32,91,100,379
Ifi202b,0,0,0,0,0,0,0,0,0,0,0
Ifi203,323,634,416,444,706,114,27,184,627,484,392
Ifi204,11,54,45,16,657,25,10,18,13,16,652
Ifi205,0,1,0,1,70,0,0,0,0,1,21
Ifi27,409,532,498,193,78,715,587,114,519,388,1636
Ifi27l2a,160,258,125,458,1403,76,178,94,673,782,1983
Ifi27l2b,0,0,0,1,0,0,0,0,0,0,0
Ifi30,108,305,309,393,1085,610,285,83,105,94,1034
Ifi35,317,342,344,239,376,505,372,87,307,211,1193
Ifi44,130,83,15,3,50,35,2,3,6,13,36
Ifi44l,0,0,0,0,0,0,0,0,0,0,0
Ifi47,140,443,385,108,331,230,64,93,458,364,484
Ifih1,88,131,86,6,245,178,129,30,40,51,580
Ifit1,120,19,15,14,158,64,131,4,108,124,826
Ifit1bl1,4,4,4,39,101,2,2,9,194,148,132
Ifit1bl2,3,5,0,0,0,3,1,0,3,8,783
Ifit2,59,99,81,11,186,92,11,17,54,76,279
Ifit3,4,18,7,24,317,12,12,13,86,31,807
Ifit3b,0,1,1,13,104,2,0,0,11,6,575
Ifitm1,716,807,575,4,88,109,9,34,11,1,1886
Ifitm10,0,0,0,0,0,0,0,1,5,0,8
Ifitm2,574,697,717,8,618,548,24,66,10,14,1511
Ifitm3,776,797,720,15,1540,546,339,241,8,9,1799
Ifitm5,38,29,41,0,14,13,0,1,0,0,62
Ifitm6,55,38,35,0,357,39,7,31,0,0,1901
Ifitm7,30,60,61,0,1,0,0,0,0,0,4
Ifltd1,0,0,0,0,0,0,0,0,0,0,0
Ifna1,0,0,0,0,0,0,0,0,0,0,0
Ifna11,0,0,0,0,0,0,0,0,0,0,0
Ifna12,0,0,0,0,0,0,0,0,0,0,0
Ifna13,0,0,0,0,0,0,0,0,0,0,0
Ifna14,0,0,0,0,0,0,0,0,0,0,0
Ifna15,0,0,0,0,0,0,0,0,0,0,0
Ifna16,0,0,0,0,0,0,0,0,0,0,0
Ifna2,0,0,0,0,0,0,0,0,0,0,0
Ifna4,0,0,0,0,0,0,0,0,0,0,0
Ifna5,0,0,0,0,0,0,0,0,0,0,0
Ifna6,0,0,0,0,0,0,0,0,0,0,0
Ifna7,0,0,0,0,0,0,0,0,0,0,0
Ifna9,0,0,0,0,0,0,0,0,0,0,0
Ifnab,0,0,0,0,0,0,0,0,0,0,0
Ifnar1,113,268,325,157,339,157,190,90,273,230,1466
Ifnar2,344,1344,1189,129,927,679,457,180,377,247,2275
Ifnb1,0,0,0,0,0,0,0,0,0,0,0
Ifne,0,0,0,0,0,0,0,0,0,0,0
Ifng,0,0,0,0,0,0,0,57,30,15,69
Ifngr1,436,624,941,101,1052,900,28,304,347,216,1433
Ifngr2,123,453,482,210,830,146,35,64,157,127,2372
Ifnk,0,0,1,0,0,0,0,0,0,0,0
Ifnl2,0,0,0,0,0,0,0,0,0,0,0
Ifnl3,0,0,0,0,0,0,0,0,0,0,0
Ifnlr1,2,6,0,4,0,5,3,0,2,0,1053
Ifnz,0,1,0,0,0,0,0,0,0,0,0
Ifrd1,87,241,286,51,65,323,73,23,82,63,792
Ifrd2,325,498,455,70,50,1044,609,2,67,86,225
Ift122,32,51,57,1,9,29,4,0,3,5,109
Ift140,98,196,152,91,56,343,614,31,57,41,435
Ift172,92,63,86,41,59,63,4,10,17,13,211
Ift20,285,506,568,79,157,592,333,100,154,155,900
Ift22,40,131,171,23,19,39,6,1,6,3,148
Ift27,159,366,329,80,54,335,151,34,116,63,231
Ift43,0,2,3,1,1,0,1,5,0,4,37
Ift46,112,176,148,39,85,127,40,19,65,60,410
Ift52,140,329,358,52,84,350,36,28,88,79,551
Ift57,58,214,267,8,60,93,102,2,30,24,320
Ift74,55,118,79,8,15,63,2,2,10,12,34
Ift80,23,64,57,7,7,97,202,4,159,203,102
Ift81,6,40,14,1,19,8,0,0,2,3,14
Ift88,30,103,53,9,9,54,4,1,10,5,96
Igbp1,294,621,657,142,320,694,88,73,367,244,872
Igbp1b,0,0,0,0,0,0,0,0,0,0,0
Igdcc3,0,0,1,4,0,0,0,0,0,0,2
Igdcc4,3,1,0,0,0,1,0,0,2,0,1
Igf1,12,3,7,1,7,9,39,1,0,1,939
Igf1r,871,738,723,17,103,851,110,16,107,221,2236
Igf2,70,0,0,0,0,0,0,0,3,2,1
Igf2bp1,16,3,1,0,1,5,1,0,0,0,7
Igf2bp2,103,41,40,1,10,40,9,2,21,15,109
Igf2bp3,30,19,15,15,6,17,9,4,12,11,27
Igf2os,0,0,0,0,0,0,0,0,0,4,0
Igf2r,40,14,11,34,3,282,29,54,196,176,478
Igfals,0,0,0,0,3,0,2,0,0,0,0
Igfbp1,0,0,0,0,0,0,0,0,0,0,0
Igfbp2,0,0,0,0,0,0,0,0,0,0,0
Igfbp3,0,0,0,0,0,0,0,1,0,0,2
Igfbp4,587,1332,1350,13,149,451,13,27,486,490,130
Igfbp5,0,0,0,0,0,0,0,0,2,0,6
Igfbp6,0,2,0,0,6,0,0,3,0,0,80
Igfbp7,3,52,20,0,3,27,1,3,2,0,88
Igfbpl1,0,0,0,0,0,0,0,0,0,0,0
Igfl3,0,0,0,0,0,0,0,0,0,0,0
Igflr1,71,110,111,58,51,122,67,36,266,270,283
Igfn1,0,0,0,0,0,0,0,0,7,0,0
Ighmbp2,165,169,129,48,45,233,15,28,91,87,220
Igip,6,29,23,14,21,57,4,12,26,31,58
Igll1,66,4,5,0,0,0,1,0,1,0,14
Iglon5,1,2,2,0,0,5,0,0,1,3,10
Igsf1,0,0,0,0,0,0,0,0,0,0,0
Igsf10,6,2,0,0,0,0,0,0,0,0,6
Igsf11,17,10,10,1,2,13,9,0,6,3,10
Igsf21,0,0,0,0,0,0,0,0,0,0,0
Igsf23,21,8,3,0,0,12,0,0,12,59,12
Igsf3,47,8,9,0,5,386,44,0,7,12,300
Igsf5,0,0,0,0,0,0,0,3,0,0,6
Igsf6,68,470,840,3,761,63,27,74,12,5,2282
Igsf8,171,348,374,35,163,291,29,24,61,44,334
Igsf9,0,0,1,4,0,0,1,1,0,2,73
Igsf9b,0,0,0,0,0,0,0,0,0,0,0
Igtp,213,192,140,62,202,292,271,55,410,345,704
Ihh,0,2,6,0,1,0,2,0,0,0,2
Iigp1,163,12,9,6,17,30,0,0,56,104,125
Ik,323,709,630,167,295,837,252,107,342,281,1143
Ikbip,119,113,146,4,56,199,11,23,9,8,251
Ikbkap,80,228,217,46,62,296,12,11,61,54,1256
Ikbkb,275,331,359,162,458,299,37,96,324,212,564
Ikbke,77,175,271,26,158,28,8,42,384,363,228
Ikbkg,95,179,148,61,63,195,58,32,113,89,639
Ikzf1,299,832,650,296,386,1143,175,312,727,601,2112
Ikzf2,154,336,206,8,9,108,7,12,138,315,106
Ikzf3,10,2,3,154,0,4,10,133,189,96,343
Ikzf4,16,0,1,0,2,2,0,0,30,92,33
Ikzf5,108,192,169,35,75,318,288,34,97,56,382
Il10,0,0,0,0,0,0,0,0,0,0,33
Il10ra,14,155,117,168,554,23,30,190,104,75,731
Il10rb,141,397,274,127,214,239,86,135,200,102,1221
Il11,8,3,2,0,1,6,3,0,0,1,7
Il11ra1,92,181,179,7,23,64,1,9,23,14,191
Il11ra2,0,0,0,0,0,0,0,0,0,0,0
Il12a,43,308,199,53,12,26,1,6,20,11,27
Il12b,0,0,0,0,0,0,0,0,0,0,269
Il12rb1,26,29,19,3,3,8,0,37,69,64,63
Il12rb2,0,5,7,1,0,0,0,2,2,0,7
Il13,10,0,0,0,0,0,0,0,0,0,1
Il13ra1,5,11,10,0,211,6,1,17,1,1,505
Il13ra2,0,0,0,0,0,0,0,0,0,0,0
Il15,55,121,120,17,88,5,2,21,1,5,512
Il15ra,36,68,106,9,43,52,4,17,38,15,236
Il16,267,663,579,418,472,101,62,170,674,672,2714
Il17a,0,0,0,0,0,0,0,0,0,0,0
Il17b,0,0,0,0,0,0,0,0,0,0,0
Il17c,0,0,0,0,0,0,0,0,0,0,0
Il17d,0,0,0,0,0,0,0,0,0,0,8
Il17f,0,0,0,0,0,0,3,0,0,1,0
Il17ra,522,785,563,249,915,686,179,287,566,423,2235
Il17rb,0,52,80,0,1,7,0,0,8,28,14
Il17rc,40,1,0,2,3,1,0,1,1,4,5
Il17rd,1,2,2,0,6,0,1,0,2,0,11
Il17re,45,42,12,1,7,16,13,2,6,2,29
Il18,36,33,6,22,161,6,13,1,6,4,350
Il18bp,62,16,22,4,10,31,12,4,4,6,687
Il18r1,25,2,3,7,1,22,0,223,150,88,222
Il18rap,47,159,75,2,9,35,0,558,237,44,1855
Il19,0,0,1,0,0,0,0,0,0,0,0
Il1a,0,0,0,0,0,1,0,0,0,0,1
Il1b,31,20,10,2,80,10,8,96,9,1,1759
Il1bos,0,1,1,0,1,5,1,2,0,0,21
Il1f10,0,0,0,0,0,0,0,0,0,0,0
Il1f5,0,0,0,0,0,0,0,0,0,0,0
Il1f6,0,0,0,0,0,0,0,0,0,0,0
Il1f8,0,0,0,0,0,0,0,0,0,0,0
Il1f9,2,0,1,0,0,3,0,0,0,0,849
Il1r1,16,84,31,1,7,33,47,1,5,1,34
Il1r2,3,6,2,0,7,6,0,0,0,16,1126
Il1rap,14,50,62,5,24,33,4,14,12,10,181
Il1rapl1,0,0,0,0,0,0,0,0,0,0,0
Il1rapl2,1,0,0,3,0,1,1,2,1,6,7
Il1rl1,41,67,43,1,7,275,43,1,1,12,64
Il1rl2,0,0,0,0,0,0,0,0,0,0,1
Il1rn,18,10,3,0,71,9,3,5,0,3,1692
Il2,0,0,0,0,0,0,0,0,2,1,2
Il20,0,0,0,0,0,0,0,0,0,0,0
Il20ra,14,11,0,0,0,5,2,0,0,0,3
Il20rb,0,4,24,0,5,14,5,5,4,1,51
Il21,0,0,0,1,0,0,0,0,0,7,0
Il21r,146,165,295,248,22,29,47,21,397,310,563
Il22,0,0,0,0,0,0,0,0,0,0,0
Il22ra1,0,1,1,0,0,2,5,0,0,0,1
Il22ra2,2,4,14,0,3,1,0,0,0,0,4
Il23a,0,0,0,0,0,1,0,0,0,0,1
Il23r,0,0,0,0,0,0,0,0,0,0,0
Il24,0,0,0,5,0,0,0,0,0,0,1
Il25,0,0,0,0,0,0,0,0,0,0,0
Il27,2,1,0,0,3,0,0,1,0,0,19
Il27ra,125,89,26,133,18,92,14,74,640,535,182
Il2ra,15,2,1,5,0,0,1,1,25,151,67
Il2rb,35,9,3,6,0,8,3,407,457,258,263
Il2rg,320,433,388,524,691,301,69,481,1216,1036,767
Il3,0,0,0,0,0,0,0,0,0,0,0
Il31,0,0,0,0,0,0,0,0,0,0,0
Il31ra,63,301,168,0,31,203,4,23,4,2,137
Il33,2,0,0,0,0,0,0,0,0,0,2
Il34,0,0,0,0,0,0,0,0,0,0,1
Il3ra,101,275,316,20,100,66,14,11,35,57,784
Il4,8,1,3,0,0,0,0,0,0,9,1
Il4i1,0,0,0,0,0,0,0,0,0,0,2
Il4ra,125,353,274,256,288,24,40,62,389,268,1358
Il5,0,0,0,0,0,1,1,0,0,0,0
Il5ra,1,4,3,36,1,0,0,1,0,3,9
Il6,5,1,6,0,2,0,1,0,0,0,10
Il6ra,119,536,496,61,831,71,39,92,386,421,1360
Il6st,45,244,152,15,121,22,4,8,194,158,400
Il7,13,1,0,2,0,0,0,1,1,0,119
Il7r,6,11,2,10,1,17,1,16,748,523,179
Il9,0,0,0,0,0,0,0,0,0,0,0
Il9r,0,4,0,86,0,1,12,0,0,7,113
Ildr1,0,0,0,12,0,0,1,7,30,1,51
Ildr2,0,1,0,0,0,0,0,0,0,0,0
Ilf2,176,371,419,54,62,617,108,26,94,65,209
Ilf3,368,635,570,111,81,667,131,52,192,159,562
Ilk,533,662,689,146,431,728,362,168,430,282,1249
Ilkap,90,327,346,55,88,524,162,53,115,80,547
Iltifb,0,0,0,0,0,0,0,0,0,0,0
Ilvbl,144,227,215,48,90,370,18,56,130,78,292
Immp1l,42,108,118,27,14,171,70,22,56,50,174
Immp2l,67,80,67,19,1,71,7,3,23,9,128
Immt,251,748,744,72,246,1083,254,75,268,129,481
Imp3,289,619,648,116,261,829,157,76,367,210,513
Imp4,193,551,604,65,144,796,74,66,207,103,531
Impa1,94,307,346,64,91,374,37,31,114,96,598
Impa2,102,445,493,16,112,263,7,5,28,26,718
Impact,61,105,119,24,42,97,6,16,36,43,327
Impad1,49,170,152,30,46,221,40,18,54,40,202
Impdh1,290,463,662,59,44,379,17,105,295,226,170
Impdh2,633,1154,1034,116,164,1306,226,56,346,134,466
Impg1,0,0,2,0,0,0,0,1,0,1,1
Impg2,0,0,0,3,0,1,5,0,3,3,8
Ina,0,2,0,0,0,5,0,0,0,0,0
Inadl,9,7,8,26,1,10,0,5,91,83,86
